number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
109,300P01,ASME B31.3,-46 / 200,316/L SS,100 BW/5 SKT,100 SKT,0,,100,,300P01,Pipe line class 300P01. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material 316/L SS. PMI 100.0.
110,300P09,ASME B31.3,-110 / 100,316/L SS,100 BW/5 SKT,100 SKT,0,,100,,300P09,Pipe line class 300P09. Design code ASME B31.3. Design temperature range -110 / 100 deg C. Material 316/L SS. PMI 100.0.
111,300P21,ASME B31.3,-140 / 350,316/316L SS,5 BW/SKT,100 SKT,0,,100,,300P21,Pipe line class 300P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. PMI 100.0.
112,300P22,ASME B31.3,-46 / 350,316/316L SS,5 BW/SKT,100 SKT,0,,100,,300P22,Pipe line class 300P22. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material 316/316L SS. PMI 100.0.
113,300PF2,ASME B31.3,-46 / 130,Glass Reinforced Epoxy,See Note 3,See Note 3,,,,,300PF2,Pipe line class 300PF2. Design code ASME B31.3. Design temperature range -46 / 130 deg C. Material Glass Reinforced Epoxy.
114,600A80,ASME B31.3,-46 / 230,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,600A80,Pipe line class 600A80. Design code ASME B31.3. Design temperature range -46 / 230 deg C. Material Inconel 825. PMI 100.0.
115,600C80,ASME B31.3,-46 / 200,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,600C80,Pipe line class 600C80. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material Inconel 825. PMI 100.0.
116,600CP2,ASME B31.3,-36 / 60,LTCS Fluoralon Lined,5 BW/SKT,100 SKT,0,,,,600CP2,Pipe line class 600CP2. Design code ASME B31.3. Design temperature range -36 / 60 deg C. Material LTCS Fluoralon Lined.
117,600H01 (A),ASME B31.3,-46 / 400,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,600H01A,Pipe line class 600H01 (A). Design code ASME B31.3. Design temperature range -46 / 400 deg C. Material LTCS. Comments HT only for welds with PWHT.
118,600H01 (B),ASME B31.3,-46 / 400,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,600H01B,Pipe line class 600H01 (B). Design code ASME B31.3. Design temperature range -46 / 400 deg C. Material LTCS NACE.
119,600H21,ASME B31.3,-40 / 410,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,600H21,Pipe line class 600H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS. Comments HT only for welds with PWHT.
120,600H22,ASME B31.3,-29 / 370,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,600H22,Pipe line class 600H22. Design code ASME B31.3. Design temperature range -29 / 370 deg C. Material LTCS. Comments HT only for welds with PWHT.
121,600H23,ASME B31.3,-29 / 350,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,600H23,Pipe line class 600H23. Design code ASME B31.3. Design temperature range -29 / 350 deg C. Material LTCS. Comments HT only for welds with PWHT.
122,600H25,ASME B31.3,-46 / 343,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,600H25,Pipe line class 600H25. Design code ASME B31.3. Design temperature range -46 / 343 deg C. Material LTCS. Comments HT only for welds with PWHT.
123,600H2G,ASME B31.3,-40 / 38,LTCS Zinc,5 BW/SKT,100 SKT,0,,,,600H2G,Pipe line class 600H2G. Design code ASME B31.3. Design temperature range -40 / 38 deg C. Material LTCS Zinc.
124,600H5G,ASME B31.8,-36 / 100,LTCS - API 5L X60 (SAW),5 BW/SKT,100 SKT,100,235HB,,,600H5G,Pipe line class 600H5G. Design code ASME B31.8. Design temperature range -36 / 100 deg C. Material LTCS - API 5L X60 (SAW).
125,600H5I,ASME B31.8,-46 / 150,LTCS - SMYS≤ 42 ksi (290 Mpa),5 BW/SKT,100 SKT,100,235HB,,,600H5I,Pipe line class 600H5I. Design code ASME B31.8. Design temperature range -46 / 150 deg C. Material LTCS - SMYS≤ 42 ksi (290 Mpa).
126,600H5M,ASME B31.3,-40 / 38,LTCS Galv/Scrd,5 BW/SKT,100 SKT,0,,,,600H5M,Pipe line class 600H5M. Design code ASME B31.3. Design temperature range -40 / 38 deg C. Material LTCS Galv/Scrd.
127,600H5P (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600H5PAG,Pipe line class 600H5P (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS).
128,600H5P (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600H5PUG,Pipe line class 600H5P (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS).
129,600K01,ASME B31.3,-46 / 300,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,600K01,Pipe line class 600K01. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS NACE.
130,600K02,ASME B31.3,-46 / 300,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,600K02,Pipe line class 600K02. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material LTCS NACE.
131,600K09,ASME B31.3,-46 / 90,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,600K09,Pipe line class 600K09. Design code ASME B31.3. Design temperature range -46 / 90 deg C. Material LTCS NACE.
132,600K21,ASME B31.3,-40 / 343,LTCS NACE,100 BW/5 SKT,100 SKT,100,200HB,,,600K21,Pipe line class 600K21. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE.
133,600K22,ASME B31.3,-40 / 170,LTCS NACE,100 BW/5 SKT,100 BW/SKT,100,200HB,,,600K22,Pipe line class 600K22. Design code ASME B31.3. Design temperature range -40 / 170 deg C. Material LTCS NACE.
134,600K5B (AG) & (UG),ASME B31.8,-46 / 95,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600K5BAGUG,Pipe line class 600K5B (AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 95 deg C. Material LTCS NACE - API X60 (SMLS).
135,600K5C(AG) & (UG),ASME B31.8,-46 / 95,API 5L X60 (SAW),100 BW/5 SKT,100 SKT,100,235HB,,,600K5CAGUG,Pipe line class 600K5C(AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 95 deg C. Material API 5L X60 (SAW).
