id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
208,900K5C (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),6 - 8,8.74 - 9.53,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5CUG,8.74,9.53,"Pipe line class 900K5C (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 6 - 8 in. Thickness range 8.74 - 9.53 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
209,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,5.56 - 11.13,"F-001PW, Note (6)",Y,For above ground welds only,900K5DAG,5.56,11.13,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only."
210,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,8.56 - 15.88,"F-002PW, Note (6)",Y,For above ground welds only,900K5DAG,8.56,15.88,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 8.56 - 15.88 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only."
211,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),> 12,19.05 - 19.05,"F-017PW, Note (6)",Y,For above ground welds only,900K5DAG,19.05,19.05,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 19.05 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only."
212,900K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),≥ 6,7.92 - 11.10,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5DUG,7.92,11.1,"Pipe line class 900K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter ≥ 6 in. Thickness range 7.92 - 11.10 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only."
213,900P21,ASME B31.3,-140 / 350,316/316L SS,1/2 - 3,3.73 - 7.62,25AW,N,"SW only for legacy lines < 2""",900P21,3.73,7.62,"Pipe line class 900P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.62 mm. WPS number 25AW. PWHT N. Comments SW only for legacy lines < 2""."
214,900P21,ASME B31.3,-140 / 350,316/316L SS,> 3,11.13 - 56.00,14AW,N,,900P21,11.13,56,Pipe line class 900P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 11.13 - 56.00 mm. WPS number 14AW. PWHT N.
215,900P22,ASME B31.3,-40 / 350,316/316L SS,3/4 - 3,3.91 - 7.82,25AW,N,,900P22,3.91,7.82,Pipe line class 900P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 25AW. PWHT N.
216,900P22,ASME B31.3,-40 / 350,316/316L SS,> 3,11.13 - 56.00,14AW,N,,900P22,11.13,56,Pipe line class 900P22. Design code ASME B31.3. Design temperature range -40 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 11.13 - 56.00 mm. WPS number 14AW. PWHT N.
217,1500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),3/4 - 6,3.68 - 10.97,43AW,N,,1500A60,3.68,10.97,Pipe line class 1500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 6 in. Thickness range 3.68 - 10.97 mm. WPS number 43AW. PWHT N.
