Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,U04,,OLETS,5504020,NIPOFLANGE 300# RF SCH XS LTCS A350 LF2 CL.1,300K5A,1,1.5,2,2,BB,2970
bb_fgp,U04,,OLETS,5504021,NIPOFLANGE 300# RF SCH STD/XS LTCS A350 LF2 CL.1,300K5A,1,2,3,3,BB,2980
bb_fgp,,,OLETS,9002639,NIPOFLANGE 300# RF 6.02 MM/XS WT LTCS A694 F60,300K5A,1,2,4,4,BB,2990
bb_fgp,,,OLETS,9002643,NIPOFLANGE 300# RF 6.35 MM/XS WT LTCS A694 F60,300K5A,1,2,6,10,BB,3000
bb_fgp,,,OLETS,9002644,NIPOFLANGE 300# RF 7.14 MM/XS WT LTCS A694 F60,300K5A,1,2,12,14,BB,3010
bb_fgp,,,OLETS,9002645,NIPOFLANGE 300# RF 7.92 MM/XS WT LTCS A694 F60,300K5A,1,2,16,18,BB,3020
bb_fgp,,,OLETS,9002646,NIPOFLANGE 300# RF 8.74 MM/XS WT LTCS A694 F60,300K5A,1,2,20,20,BB,3030
bb_fgp,,,OLETS,9002647,NIPOFLANGE 300# RF 9.53 MM/XS WT LTCS A694 F60,300K5A,1,2,24,24,BB,3040
bb_fgp,U04,817,FLANGE,5563366,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 16.0MM,1500F22,8,8,0,0,BB,2090
bb_fgp,,,OLETS,9002648,NIPOFLANGE 300# RF 10.31 MM/XS WT LTCS A694 F60,300K5A,1,2,28,28,BB,3050
bb_fgp,U04,821,OLETS,9002650,NIPOFLANGE 300# RF 12.7 MM/XS WT LTCS A694 F60,300K5A,1,2,16,16,BB,3060
bb_fgp,U04,821,,9006828,NIPOFLANGE 300# RF 15.88 MM/XS WT LTCS A694 F60,300K5A,1,2,16,16,BB,3070
bb_fgp,U04,821,OLETS,9006827,NIPOFLANGE 300# RF 20.62 MM/ XS WT LTCS A694 F60,300K5A,1,1,24,24,BB,3080
bb_fgp,U04,821,OLETS,9006826,NIPOFLANGE 300# RF 20.62 MM/SCH 160 WT LTCS A694 F60,300K5A,0.75,0.75,24,24,BB,3090
bb_fgp,U04,FF5,OLETS,9504524,NIPOFLANGE FLAT BOTTOM 300# RF SCH XS LTCS A694 F60,300K5A,0.75,1,0,0,BB,3100
bb_fgp,,,,,,300K5A,,,,,BB,3110
bb_fgp,,,,,***** FLANGES ABOVE & BELOW GROUND*****,300K5A,,,,,BB,3110
bb_fgp,,,,,,300K5A,,,,,BB,3120
bb_fgp,U04,,FLANGE,5556480,FLG WN 300# RF LTCS A350 LF2 CL.1 SCH 160,300K5A,0.5,0.75,0,0,BB,3120
bb_fgp,U04,817,FLANGE,5563367,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 19.0MM,1500F22,10,10,0,0,BB,2100
bb_fgp,U04,,FLANGE,5556476,FLG WN 300# RF LTCS A350 LF2 CL.1 SCH XS,300K5A,1,2,0,0,BB,3130
bb_fgp,U04,,FLANGE,5556473,FLG WN 300# RF LTCS A350 LF2 CL.1 SCH STD,300K5A,3,3,0,0,BB,3140
bb_fgp,,,FLANGE,9001480,FLG WN 300# RF LTCS A694 F60 WT 6.02MM,300K5A,4,4,0,0,BB,3150
bb_fgp,,,FLANGE,9001483,FLG WN 300# RF LTCS A694 F60 WT 6.35MM,300K5A,6,10,0,0,BB,3160
bb_fgp,,,FLANGE,9001484,FLG WN 300# RF LTCS A694 F60 WT 7.14MM,300K5A,12,14,0,0,BB,3170
bb_fgp,,,FLANGE,9001455,FLG WN 300# RF LTCS A694 F60 WT 7.92MM,300K5A,16,18,0,0,BB,3180
bb_fgp,,,FLANGE,9001457,FLG WN 300# RF LTCS A694 F60 WT 8.74MM,300K5A,20,20,0,0,BB,3190
bb_fgp,,,FLANGE,9001458,FLG WN 300# RF LTCS A694 F60 WT 9.53MM,300K5A,24,24,0,0,BB,3200
bb_fgp,U04,821,FLANGE,9001454,FLG WN 300# RF LTCS A694 F60 WT 11.13MM,300K5A,8,10,0,0,BB,3210
bb_fgp,U04,821,FLANGE,9001467,FLG WN 300# RF LTCS A694 F60 WT 12.7MM,300K5A,8,16,0,0,BB,3220
bb_fgp,,817,FLANGE,5619917,FLG COMPACT 10000# RJ BORE 167.1MM ALLOY 625 B564 UNS N06625,10000A60,8,8,0,0,BB,790
bb_fgp,U04,817,FLANGE,5563368,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 22.0MM,1500F22,12,12,0,0,BB,2110
bb_fgp,U04,821,,9006231,FLG WN 300# RF LTCS A694 F60 WT 15.88MM,300K5A,16,16,0,0,BB,3230
bb_fgp,U04,821,FLANGE,9006230,FLG WN 300# RF LTCS A694 F60 WT 17.48MM,300K5A,18,18,0,0,BB,3240
bb_fgp,U04,821,,9006234,FLG WN 300# RF LTCS A694 F60 WT 18.26MM,300K5A,8,8,0,0,BB,3250
